cartodb_id,the_geom,the_geom_webmercator,lat,lon,iso,gadm2,date
3147338,0101000020E610000027A87E319DC829C03333333333E32040,0101000020110F0000AA60BB50E7E535C1FE497FCF1DCA2C41,8.44375,-12.89182429,SLE,173432,2010-10-16
3147339,0101000020E610000081368309EDEC26C09C2AA58888182140,0101000020110F00004FADD00A7B7833C1C1145BB0B6252D41,8.54791667,-11.46274595,SLE,173410,2010-10-16
3147341,0101000020E6100000AD3830140BCF26C03333333333232140,0101000020110F0000A48925EE195F33C117EFE73A09382D41,8.56875,-11.4043814,SLE,173410,2010-10-16
3147342,0101000020E61000007CF2C9ED0BEE27C068F7715555252140,0101000020110F0000B735E271DA5234C19370BC5EB33B2D41,8.57291667,-11.96493476,SLE,173431,2010-10-16
3147343,0101000020E610000093E3467818AC26C0CDCCCCCCCC5C2140,0101000020110F00004CD088926B4133C139002D9DFE9A2D41,8.68125,-11.33612419,SLE,173403,2010-10-16
3147344,0101000020E6100000C8D4B89278B225C003910BEFEEBE2140,0101000020110F000077B30CF9696D32C13215AFBEA8432E41,8.87291667,-10.84857615,SLE,173403,2010-10-16
3147346,0101000020E610000050C1A75A87AA25C06666666666D62140,0101000020110F0000DB3CC828AB6632C16C229045016C2E41,8.91875,-10.83306392,SLE,173390,2010-10-16
3147347,0101000020E610000007B7103F5AD728C00000000000F02140,0101000020110F0000BCF66A06001935C164694A3C06982E41,8.96875,-12.4206104,SLE,173399,2010-10-16
3147348,0101000020E6100000054C640F821A28C02D111C5555B51E40,0101000020110F0000F14AE24A9D7834C1166DA479B3282A41,7.67708333,-12.05177353,SLE,173479,2010-11-01
3147349,0101000020E61000002EF7B0B4DF1E28C09A99999999B91E40,0101000020110F0000F1756582527C34C18D0275885B2C2A41,7.68125,-12.06030049,SLE,173479,2010-11-01
3147351,0101000020E610000070549721C81C28C0062217DEDDBD1E40,0101000020110F00001F084BA58B7A34C1DA489F9903302A41,7.68541667,-12.05621438,SLE,173479,2010-11-01
3147352,0101000020E6100000292DF1BA5D6B27C03333333333432140,0101000020110F00002D9090C8DDE333C17FA88966026F2D41,8.63125,-11.70969948,SLE,173417,2010-11-01
3147353,0101000020E6100000BE249D9A2E722AC069F7715555852140,0101000020110F00008E6202F1EA7536C19EEBB25BA6E02D41,8.76041667,-13.22301181,SLE,173433,2010-11-01
3147354,0101000020E61000007C49DF7BEA7E26C030A2274444342240,0101000020110F00002740AF930C1B33C13FACED6A700D2F41,9.10208333,-11.24788272,SLE,173385,2010-11-01
3147356,0101000020E6100000FCBF6E01365626C09C2AA58888D82040,0101000020110F0000D44A1F767AF832C1334E34CCCCB72C41,8.42291667,-11.16838078,SLE,173441,2010-11-17
3147357,0101000020E6100000DD45779473D526C0FD6EF41011212140,0101000020110F0000793456358B6433C1C01EB5195F342D41,8.56458333,-11.41689743,SLE,173410,2010-11-17
3147358,0101000020E61000008960B9317FB926C0CF5DD8BBBB6B2140,0101000020110F00002F9FA749CD4C33C1C44BD0C3A7B42D41,8.71041667,-11.36229854,SLE,173385,2010-11-17
3147359,0101000020E6100000DD10FCD24FB025C003910BEFEEBE2140,0101000020110F00001189E185946B32C13215AFBEA8432E41,8.87291667,-10.84435901,SLE,173403,2010-11-17
3147361,0101000020E6100000AF09487F584826C063D55A7777672240,0101000020110F00007B49E1DCB3EC32C1FE60B56687652F41,9.20208333,-11.14130018,SLE,173385,2010-11-17
3147362,0101000020E61000004288F92CAE4D26C064D55A7777872240,0101000020110F0000D24FE6BB3BF132C13506ECFF989C2F41,9.26458333,-11.15171948,SLE,173385,2010-11-17
3147363,0101000020E61000004091BCADD35227C02E111C5555751F40,0101000020110F00004BD4606F06CF33C130C42C3547CD2A41,7.86458333,-11.66177123,SLE,173361,2010-12-03
3147364,0101000020E6100000DB8827BB99852AC0D05DD8BBBBCB2040,0101000020110F000065C1D7EB688636C1EAC28450D2A12C41,8.39791667,-13.2609385,SLE,173439,2010-12-03
3147366,0101000020E6100000F4113AE0A11729C0FD6EF41011212140,0101000020110F0000AA59E1CB974F35C1C01EB5195F342D41,8.56458333,-12.54615689,SLE,173424,2010-12-03
3147367,0101000020E61000006CCF0BFB66122AC00000000000302140,0101000020110F00003EA7EB6A922436C13B1D4138064E2D41,8.59375,-13.03594193,SLE,173433,2010-12-03
3147137,0101000020E61000002E49D0253D3026C0CDCCCCCCCC5C2240,0101000020110F0000DA47A4883AD832C1F748C4C12C532F41,9.18125,-11.09421652,SLE,173390,2006-05-09
3147138,0101000020E6100000E1270EA0DF2326C00000000000702240,0101000020110F0000953FF40DBACD32C185D16A8436742F41,9.21875,-11.0700655,SLE,173385,2006-11-01
3147139,0101000020E6100000844B2256DA9725C00000000000F02140,0101000020110F00000B77B6A3CE5632C164694A3C06982E41,8.96875,-10.79658765,SLE,173390,2006-11-17
3147141,0101000020E61000000DCBF2B735A625C06666666666D62140,0101000020110F00005AB38524006332C16C229045016C2E41,8.91875,-10.82462859,SLE,173390,2007-05-09
3147142,0101000020E6100000C14BDB85073526C0D05DD8BBBB6B2240,0101000020110F000068E435184CDC32C15C7C2DF0DE6C2F41,9.21041667,-11.10357302,SLE,173385,2007-05-25
3147143,0101000020E610000031964CC243742AC03233333333832140,0101000020110F000088190BC0AF7736C13D3512C0FBDC2D41,8.75625,-13.22707946,SLE,173433,2007-08-13
3147144,0101000020E6100000813C1EA7A6762AC09A99999999892140,0101000020110F0000CFCE1D95B67936C1D317759AFBE72D41,8.76875,-13.23174021,SLE,173433,2007-08-13
3147146,0101000020E61000008898D89D6A742AC064D55A7777872140,0101000020110F0000E0817FC0D07736C1D95871F950E42D41,8.76458333,-13.22737592,SLE,173433,2007-08-29
3147147,0101000020E610000095A484C37F762AC069F7715555852140,0101000020110F0000FE7ED28D957936C19EEBB25BA6E02D41,8.76041667,-13.23144351,SLE,173433,2007-09-30
3147148,0101000020E610000051A6875748F328C0D05DD8BBBBEB2140,0101000020110F000088A97D9AB83035C1BE77D4F7AF902E41,8.96041667,-12.4751613,SLE,173405,2008-01-01
3147149,0101000020E6100000731B1E0C86DA26C0FD6EF41011812140,0101000020110F0000C78142FFD96833C19B80222751D92D41,8.75208333,-11.42680395,SLE,173410,2008-02-02
3147151,0101000020E61000001357BEFC884226C0CDCCCCCCCC7C2240,0101000020110F00009B382A85C4E732C1A74BE8853D8A2F41,9.24375,-11.12995138,SLE,173385,2008-03-21
3147152,0101000020E610000046C38C9DAEDC26C0FD6EF41011812140,0101000020110F000031F9194BAF6A33C19B80222751D92D41,8.75208333,-11.43101971,SLE,173410,2008-05-08
3147153,0101000020E610000097B9441E56A625C096088EAAAADA2140,0101000020110F00006011E4A81B6332C12EECFE5257732E41,8.92708333,-10.82487578,SLE,173390,2008-05-08
3147154,0101000020E61000001972AE5915A625C036C43E2222D22140,0101000020110F0000DA3CFEA6E46232C139941A43AB642E41,8.91041667,-10.82438164,SLE,173408,2008-05-24
3147156,0101000020E6100000BF1988A74F3126C003910BEFEE7E2240,0101000020110F000041ED21AC23D932C1D5FEA365E98D2F41,9.24791667,-11.09631084,SLE,173385,2008-05-24
3147157,0101000020E610000054E8599C738626C0CDCCCCCCCC3C2140,0101000020110F0000FEBA25FC722133C12999A09403642D41,8.61875,-11.26260079,SLE,173427,2008-06-09
3147158,0101000020E6100000977A502F7CAB28C097088EAAAA5A2140,0101000020110F000084948D54BEF334C1BB27753454972D41,8.67708333,-12.33493183,SLE,173420,2008-06-09
3147159,0101000020E6100000B81CF15CC69225C06666666666D62140,0101000020110F0000E49F59927E5232C16C229045016C2E41,8.91875,-10.78666964,SLE,173408,2008-06-09
3147161,0101000020E61000003F88019EF6B426C0CDCCCCCCCC1C2140,0101000020110F0000E4F3F99BF34833C15CC2C6DF0A2D2D41,8.55625,-11.35344404,SLE,173410,2008-07-11
3147162,0101000020E6100000E7B6F1E50DED26C0CDCCCCCCCC1C2140,0101000020110F0000EFF87EF3967833C15CC2C6DF0A2D2D41,8.55625,-11.46299666,SLE,173410,2008-08-28
3147163,0101000020E61000009DFABCB92A8426C09C2AA58888382140,0101000020110F00003805E43D821F33C126811E16AF5C2D41,8.61041667,-11.25813847,SLE,173427,2008-08-28
3148802,0101000020E6100000D41B8388B35E27C003910BEFEEBE2040,0101000020110F000076763D2F1CD933C1BDEE9C31D88B2C41,8.37291667,-11.68496348,SLE,173440,2013-11-01
3148803,0101000020E61000005CA6AAF9BF3D29C09A99999999C92040,0101000020110F00000D11705AF76F35C1F7D8129A289E2C41,8.39375,-12.62060528,SLE,173435,2013-11-01
3148804,0101000020E61000007DD1FD20BBEC26C09A99999999C92040,0101000020110F00005A37B6A7507833C1F7D8129A289E2C41,8.39375,-11.46236518,SLE,173437,2013-11-01
3148806,0101000020E61000007EFE7BF0DADF26C0D05DD8BBBBCB2040,0101000020110F000051ED4A33616D33C1EAC28450D2A12C41,8.39791667,-11.43721725,SLE,173437,2013-11-01
3148807,0101000020E6100000891776DEE77C26C030A2274444D42040,0101000020110F00003FB2A983571933C13B86EE4279B02C41,8.41458333,-11.24395652,SLE,173441,2013-11-01
3148808,0101000020E6100000B77C4533260527C0FD6EF41011E12040,0101000020110F00008A2229B10D8D33C1873EA1FC73C62C41,8.43958333,-11.51005707,SLE,173437,2013-11-01
3148809,0101000020E61000006971C630271227C03333333333E32040,0101000020110F0000E7D12601199833C1FE497FCF1DCA2C41,8.44375,-11.53545525,SLE,173437,2013-11-01
3148811,0101000020E6100000EF3A5D0EA2AA29C09A99999999E92040,0101000020110F00009F56A3D170CC35C1084914571BD52C41,8.45625,-12.83326764,SLE,173432,2013-11-01
3148812,0101000020E610000075958B84F8C829C0CA3BC1DDDDED2040,0101000020110F0000EA1E91E034E635C1C6CF95136FDC2C41,8.46458333,-12.89252104,SLE,173432,2013-11-01
3148813,0101000020E61000005B5A2E9764C926C06566666666F62040,0101000020110F00004F7F626D4D5A33C11F7B5DAC16EB2C41,8.48125,-11.39334557,SLE,173437,2013-11-01
3148814,0101000020E6100000A05CC776C6DA26C097088EAAAAFA2040,0101000020110F0000E292C8B4106933C1898915886AF22C41,8.48958333,-11.42729541,SLE,173437,2013-11-01
3148816,0101000020E6100000AB819CE6D3FF26C064D55A7777072140,0101000020110F00000667D0B0888833C14CC1695A66082D41,8.51458333,-11.49966355,SLE,173437,2013-11-01
3148817,0101000020E61000003E5F2F2492EE26C064D55A7777072140,0101000020110F00008EA5A8AFE07933C14CC1695A66082D41,8.51458333,-11.46595872,SLE,173437,2013-11-01
3147164,0101000020E6100000036BAC2FD89C29C03333333333832240,0101000020110F0000473B38E6BAC035C14CF2132D41952F41,9.25625,-12.80633687,SLE,173382,2008-08-28
3147166,0101000020E6100000AEB7729B15202AC069F7715555452140,0101000020110F0000BDC51233313036C1BF5500B2AC722D41,8.63541667,-13.06266485,SLE,173433,2008-09-29
